   n     m     l    s1    s2           M^2           <N>      <Lz>       <S>      <Sz>     <P+J>       <C>
   0     0     0    -1     1  0.3369267045          1.5633    0.0000    0.3651   -0.0000   -1.0000    1.0000
   0     0     0     1    -1  0.5816517832          1.2669    0.0000    1.0000   -0.0000    1.0000   -1.0000
   0     1     0    -1    -1  0.7304469192          2.2053    0.0000    1.0000   -0.0000    1.0000    1.0000
   0    -1     0     1     1   1.020005794          2.0452   -0.0000    0.8179    0.0000   -1.0000    1.0000
   0     0     1     1    -1   1.420182720          1.3675   -0.0000    0.2252    0.0000   -1.0000   -1.0000
   0     0     1    -1     1   1.590623682          1.3531   -0.0000    1.0000    0.0000    1.0000    1.0000
   0    -1     1     1     1   1.954271291          2.4031   -0.0000    1.0000    0.0000    1.0000   -1.0000
   1     0     0    -1     1   1.975171748          2.7221    0.0000    0.0412   -0.0000   -1.0000    1.0000
   1     0     0     1    -1   2.018117665          2.5206    0.0000    1.0000   -0.0000    1.0000   -1.0000
   0     1     1    -1    -1   2.104476913          2.0938    0.0000    0.9026   -0.0000   -1.0000   -1.0000
